Year,Alaska,Arizona,Arkansas,California,Colorado,Florida,Hawaii,Idaho,Indiana,Kentucky,Maine,Michigan,Minnesota,Missouri,Montana,Nevada,New Mexico,North Carolina,North Dakota,Ohio,Oregon,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,"Washington, D.C",Washington,West Virginia,Wyoming,U.S. Territory,National
2008,55246.7,261005.8,100206.7,1946242,257606.1,767357.8,65545.5,56203.6,277774.5,160700.2,51001.9,391633.6,268771.5,256431.1,37028,130570.9,84339.7,420707.2,32027.7,500916.4,164122.9,164471.2,36939.3,255546.7,1253142,116949.2,402157.8,395698.808,352460.7,62978.7,42694.6,null,14769.862
2009,50165.9,244862.2,97783.9,1879810,249817.1,739322.4,64464.3,54507.9,264925,157440.1,51451.2,371707,262628.8,254306.2,35880,122471.2,82641.3,413096.8,32310.4,484407.1,159330.4,162380.4,36732.1,252940.7,1179168.1,113834.8,409935.3,402866.405,349945.4,64040.1,36282.2,null,14478.067
2010,53654,250527,101699.3,1938603,256771.8,752998.4,66739.3,56086.2,284685.8,166656.3,52802.5,393179.6,274649.2,262013.4,38080.3,125149.1,84862.6,422282.2,35651.8,500274.2,163150.5,166767.4,38208.2,258657.6,1255660.8,118296.3,425490.8,424903.178,363544.2,66160.4,37567.5,null,15048.971
2011,56912.3,261691.4,105697.6,2014050,266114.1,761043.1,68801.1,57418.2,292373.8,171238.1,53104.5,408354.1,287070.8,263330,40592.3,128638.4,87056,430040.1,41602.1,525456.4,169693.8,172844.7,42082.7,270055,1351776.9,125137.8,433683.7,438451.163,377518.8,69367.6,39615.1,null,15599.732
2012,58320.7,272703.3,108836,2108873,274738.8,784545.9,71645.6,57933.7,301277.4,178370.6,54018.5,426141.1,298641.4,272482.4,42150.2,130238.2,87681,444063.2,52079.1,543035.4,173856.8,178503.9,44127.3,285897.5,1429588,129431.4,445008.5,448684.817,398358.5,70303.1,38679.3,null,16253.97
2013,57533,278679.5,114021.1,2223301,291265.3,819679.8,74598.5,61712.6,313466.9,184920.6,54924.8,441470.8,311752.1,282659.7,43584,133592.5,88773.3,460946.4,54877,566419.9,178975.4,186268.3,45498.6,296756.3,1526781.9,135344.3,456911.6,456074.329,416924.1,71758.6,39365.6,null,16880.683
2014,56587.4,286676,117388.7,2342219,309223.9,860112.6,77043,64501.7,329360.9,188326.4,56537.3,456123.5,324701.5,289340.7,45203.8,136918.4,92523.4,482295.7,61108.3,597152.3,187837.6,195744.4,47159.9,307448.5,1592177.6,142627.7,465601.7,469935.857,439851.2,73042.6,40573.9,null,17608.138
2015,51574.2,298942.2,118573.6,2487156,320895.9,918464.3,81410.2,66064.9,333163.8,194621.2,58755.8,479222.7,336762,299597.7,46542.4,145786.9,90779.4,508672.4,56952.2,615275.5,200592.6,207510,48678.9,326382.5,1585985.9,149762.1,485540.9,489375.861,467590.6,71713.4,38624.8,null,18295.019
2016,51121.8,313787.1,120987.4,2586485,330565.9,964500.8,84287.2,69185.2,342716.6,197944.8,61092.2,494752.5,345248.8,304143.3,45859.4,153318,90476,528284.3,52666.3,627294.7,211782.4,217555.5,49842.6,339350.2,1582981.5,159330.6,499032.4,509691.056,489790.2,71248.9,36105.9,null,18804.913
2017,53550.9,333099,123882.6,2740550,350209.1,1014866.9,87436.4,72935.1,357535.8,203564,63000.6,505101.5,354721.9,311273.8,48470.5,163199.1,93210.1,546810.1,56530.2,652187.5,225534.5,224937.6,51615.1,355417.5,1667313,172075,515167.2,528925.008,527169.4,75172.4,37620.3,null,19612.103
2018,54762,353671,129213.8,2899531,373923.1,1072085.6,90933.5,79072.4,377376.9,210509.1,66216,525240.8,372439.2,320451.7,51152.1,172547.9,98838.2,568037.3,60377.1,672540.1,238466.9,236561.7,53349.5,369713.2,1808026.9,186805.7,537158.3,552396.521,570337.8,79794.3,39614.5,null,20656.516
