year,park,visits
2008,Acadia National Park,2075857
2008,Arches National Park,928795
2008,Badlands National Park,845734
2008,Big Bend National Park,362512
2008,Biscayne National Park,686062
2008,Black Canyon of the Gunnison National Park,160185
2008,Bryce Canyon National Park,1043321
2008,Canyonlands National Park,436715
2008,Capitol Reef National Park,604811
2008,Carlsbad Caverns National Park,400381
2008,Channel Islands National Park,332177
2008,Congaree National Park,104913
2008,Crater Lake National Park,415686
2008,Cuyahoga Valley National Park,2828233
2008,Death Valley National Park,871938
2008,Denali National Park & Preserve,432309
2008,Dry Tortugas National Park,63947
2008,Everglades National Park,822118
2008,Gates of the Arctic National Park & Preserve,11397
2008,Gateway Arch National Park,1954810
2008,Glacier Bay National Park & Preserve,418911
2008,Glacier National Park,1808027
2008,Grand Canyon National Park,4425314
2008,Grand Teton National Park,2485987
2008,Great Basin National Park,69235
2008,Great Sand Dunes National Park & Preserve,273903
2008,Great Smoky Mountains National Park,9044010
2008,Guadalupe Mountains National Park,163709
2008,Haleakala National Park,1185068
2008,Hawaii Volcanoes National Park,1270538
2008,Hot Springs National Park,1238147
2008,Indiana Dunes National Park,1833596
2008,Isle Royale National Park,14038
2008,Joshua Tree National Park,1392446
2008,Katmai National Park & Preserve,7970
2008,Kenai Fjords National Park,272190
2008,Kings Canyon National Park,574870
2008,Kobuk Valley National Park,1565
2008,Lake Clark National Park & Preserve,6802
2008,Lassen Volcanic National Park,377361
2008,Mammoth Cave National Park,446174
2008,Mesa Verde National Park,551446
2008,Mount Rainier National Park,1163227
2008,New River Gorge National Park & Preserve,1212854
2008,North Cascades National Park,18725
2008,Olympic National Park,3081451
2008,Petrified Forest National Park,543714
2008,Pinnacles National Park,166988
2008,Redwood National Park,396899
2008,Rock Creek Park,2076466
2008,Rocky Mountain National Park,2757390
2008,Saguaro National Park,699137
2008,Sequoia National Park,930011
2008,Shenandoah National Park,1075878
2008,Theodore Roosevelt National Park,516804
2008,Virgin Islands National Park,469034
2008,Voyageurs National Park,221585
2008,White Sands National Park,438511
2008,Wind Cave National Park,573433
2008,Wrangell-St. Elias National Park & Preserve,65693
2008,Yellowstone National Park,3066580
2008,Yosemite National Park,3431514
2008,Zion National Park,2690154
2009,Acadia National Park,2227698
2009,Arches National Park,996312
2009,Badlands National Park,933918
2009,Big Bend National Park,363905
2009,Biscayne National Park,437745
2009,Black Canyon of the Gunnison National Park,171451
2009,Bryce Canyon National Park,1216377
2009,Canyonlands National Park,436241
2009,Capitol Reef National Park,617208
2009,Carlsbad Caverns National Park,432639
2009,Channel Islands National Park,348745
2009,Congaree National Park,122970
2009,Crater Lake National Park,446516
2009,Cuyahoga Valley National Park,2589288
2009,Death Valley National Park,828574
2009,Denali National Park & Preserve,358041
2009,Dry Tortugas National Park,52011
2009,Everglades National Park,900882
2009,Gates of the Arctic National Park & Preserve,9975
2009,Gateway Arch National Park,2360109
2009,Glacier Bay National Park & Preserve,438361
2009,Glacier National Park,2031348
2009,Grand Canyon National Park,4348068
2009,Grand Teton National Park,2580081
2009,Great Basin National Park,84974
2009,Great Sand Dunes National Park & Preserve,289955
2009,Great Smoky Mountains National Park,9491437
2009,Guadalupe Mountains National Park,198882
2009,Haleakala National Park,1109104
2009,Hawaii Volcanoes National Park,1233105
2009,Hot Springs National Park,1284707
2009,Indiana Dunes National Park,1944568
2009,Isle Royale National Park,14653
2009,Joshua Tree National Park,1304471
2009,Katmai National Park & Preserve,43035
2009,Kenai Fjords National Park,218358
2009,Kings Canyon National Park,609296
2009,Kobuk Valley National Park,1879
2009,Lake Clark National Park & Preserve,9711
2009,Lassen Volcanic National Park,365639
2009,Mammoth Cave National Park,503856
2009,Mesa Verde National Park,550377
2009,Mount Rainier National Park,1151654
2009,New River Gorge National Park & Preserve,1144318
2009,North Cascades National Park,26972
2009,Olympic National Park,3276459
2009,Petrified Forest National Park,631613
