Park Name,State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Average
Acadia NP,Maine,"2,075,857","2,227,698","2,504,208","2,374,645","2,431,052","2,254,922","2,563,129","2,811,184","3,303,393","3,509,271","3,537,575","3,437,286","2,669,034","4,069,098","3,970,260","3,879,890","3,961,661","3,034,127"
Arches NP,Utah,"928,795","996,312","1,014,405","1,040,758","1,070,577","1,082,866","1,284,767","1,399,247","1,585,718","1,539,028","1,663,557","1,659,702","1,238,083","1,806,865","1,460,652","1,482,045","1,466,528","1,336,465"
Badlands NP,South Dakota,"845,734","933,918","977,778","870,741","883,406","892,372","868,094","989,354","996,263","1,054,325","1,008,942","970,998","916,932","1,224,226","1,006,809","1,046,400","1,094,245","975,326"
Big Bend NP,Texas,"362,512","363,905","372,330","361,862","292,055","316,953","314,102","381,747","388,290","440,276","440,091","463,832","393,907","581,220","514,107","509,129","561,458","415,163"
Biscayne NP,Florida,"686,062","437,745","467,612","476,077","495,613","486,848","525,745","508,164","514,709","446,961","469,253","708,522","402,770","705,655","701,023","571,242","512,213","536,248"
Black Canyon of the Gunnison NP,Colorado,"160,185","171,451","176,344","168,336","192,570","175,852","183,045","209,166","238,018","307,143","308,962","432,818","341,620","308,910","297,257","357,069","335,862","256,742"
Bryce Canyon NP,Utah,"1,043,321","1,216,377","1,285,492","1,296,000","1,385,352","1,311,875","1,435,741","1,745,804","2,365,110","2,571,684","2,679,478","2,594,904","1,464,655","2,104,600","2,354,660","2,461,269","2,498,075","1,871,435"
Canyonlands NP,Utah,"436,715","436,241","435,908","473,773","452,952","462,242","542,431","634,607","776,218","742,271","739,449","733,996","493,914","911,594","779,147","800,322","818,492","627,663"
Capitol Reef NP,Utah,"604,811","617,208","662,661","668,834","673,345","663,670","786,514","941,029","1,064,904","1,150,165","1,227,627","1,226,519","981,038","1,405,353","1,227,608","1,268,861","1,422,490","976,037"
Carlsbad Caverns NP,New Mexico,"400,381","432,639","428,524","365,000","381,058","388,566","397,309","445,720","466,773","520,026","465,912","440,691","183,835","349,244","390,932","394,121","460,474","406,541"
Channel Islands NP,California,"332,177","348,745","277,515","242,756","249,594","212,029","342,161","324,816","364,807","383,687","366,250","409,630","167,290","319,252","323,245","328,746","262,581","309,134"
Congaree NP,South Carolina,"104,913","122,970","121,208","120,166","109,685","120,340","120,122","87,513","143,843","159,595","145,929","159,445","119,306","215,181","204,522","250,114","242,049","149,818"
