name,feeType,cost,description
Acadia National Park,Timed Entry Reservation - Location,6.00,"Vehicle reservations are not required for any other areas of the park, or for visitors who enter the area by foot, bike, or taxi. Vehicle reservations provide a timed entry, but do not require a departure time until 9 pm, when the road closes to vehicles. Reservations do not permit re-entry. Reservations are per vehicle, not per person. Reservations do not assign a specific parking space. Parking is prohibited outside of designated spaces. Cadillac is not served by the Island Explorer bus system."
Acadia National Park,Entrance - Private Vehicle,35.00,"Valid for seven days. Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants. This includes rental cars, RVs, and vans with fewer than 16 passengers. If the vehicle pass is purchased, no other pass is necessary."
Acadia National Park,Entrance - Motorcycle,30.00,"Valid for seven days. Admits one or two passengers on a private, non-commercial motorcycle."
Acadia National Park,Entrance - Per Person,20.00,"Valid for seven days. Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge."
Arches National Park,Timed Entry Reservation - Park,2.00,"From April 1 through July 6, 2025, visitors entering the park in a vehicle between 7 am and 4 pm will need to have already purchased a Timed Entry Ticket from Recreation.gov before arriving. One ticket is needed per vehicle. This fee is a Recreation.gov service charge, so it is not waived by any of the interagency passes."
Arches National Park,Entrance - Private Vehicle,30.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants."
Arches National Park,Entrance - Motorcycle,25.00,"Admits one private, non-commercial motorcycle and its riders"
Arches National Park,Entrance - Per Person,15.00,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free."
Arches National Park,Timed Entry Reservation - Park,2.00,"From August 28 through October 31, 2025, visitors entering the park in a vehicle between 7 am and 4 pm will need to have already purchased a Timed Entry Ticket from Recreation.gov before arriving. One ticket is needed per vehicle. This fee is a Recreation.gov service charge, so it is not waived by any of the interagency passes."
Badlands National Park,Entrance - Private Vehicle,30.00,Fee covers the entry of a private vehicle and its occupants for 7 days
Badlands National Park,Entrance - Motorcycle,25.00,Fee covers the entry of a motorcycle and its occupants for 7 days
Badlands National Park,Entrance - Per Person,15.00,"Fee covers the entry of an individual that is hiking, bicycling, etc... for 7 days"
Big Bend National Park,Entrance - Private Vehicle,30.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less); valid for 7 days."
Big Bend National Park,Entrance - Motorcycle,25.00,Admits one non-commercial motorcycle; valid for 7 days.
Big Bend National Park,Entrance - Per Person,15.00,Admits one individual. Typically used for bicyclists and pedestrians; valid for 7 days.
Big Bend National Park,Entrance - Non-commercial Groups,30.00,"Organized groups such as Scouts, clubs, etc. that do not qualify for an academic fee waiver are charged as follows:
$30 per non-commercial vehicle with a capacity of 15 or less.
$15 per person traveling in a non-commercial vehicle with a capacity of 16 or more. Fees will not exceed the commercial rate for the same sized vehicle. Youth 15 and younger are free. Individuals or families with a valid annual or lifetime pass may use their pass for themselves and up to 3 others."
Black Canyon Of The Gunnison National Park,Entrance - Private Vehicle,30.00,"7-Day Vehicle Pass.  Entrance fees cover all persons in a single, private, non-commercial vehicle."
