name,fullName,parkCode,parkID,designation,description,latitude,longitude,city,stateCode,postalCode,exceptionType,startDate,endDate
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Park is Closed,2025-11-27,2025-11-27
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Park is Closed,2025-12-25,2025-12-25
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,Hodgenville,KY,42748,Park is Closed,2026-01-01,2026-01-01
Adams,Adams National Historical Park,adam,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesmen, philosophers…and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,Quincy,MA,02169,Columbus Day,2026-10-13,2026-10-13
Adams,Adams National Historical Park,adam,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesmen, philosophers…and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,Quincy,MA,02169,Veterans Day,2025-11-11,2025-11-11
Adams,Adams National Historical Park,adam,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesmen, philosophers…and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,Quincy,MA,02169,Thanksgiving Day,2025-11-27,2025-11-27
Adams,Adams National Historical Park,adam,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesmen, philosophers…and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,Quincy,MA,02169,Thanksgiving,2025-11-27,2025-11-27
Adams,Adams National Historical Park,adam,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesmen, philosophers…and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,Quincy,MA,02169,Christmas Day,2025-12-25,2025-12-25
Adams,Adams National Historical Park,adam,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesmen, philosophers…and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,Quincy,MA,02169,Christmas,2025-12-25,2025-12-25
Adams,Adams National Historical Park,adam,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesmen, philosophers…and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,Quincy,MA,02169,New Years Day,2026-01-01,2026-01-01
Adams,Adams National Historical Park,adam,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesmen, philosophers…and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,Quincy,MA,02169,"Birthday of Martin Luther King, Jr.",2026-01-19,2026-01-19
Adams,Adams National Historical Park,adam,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesmen, philosophers…and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,Quincy,MA,02169,Memorial Day,2026-05-25,2026-05-25
Adams,Adams National Historical Park,adam,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesmen, philosophers…and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,Quincy,MA,02169,Labor Day,2026-09-07,2026-09-07
African Burial Ground,African Burial Ground National Monument,afbg,E6E1D22A-7A89-47F8-813C-B611059A8CF9,National Monument,The African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It serves to protect and honor the historic role that slavery played in shaping New York's development.,40.71452681,-74.00447358,New York,NY,10007,Independence Day,2026-07-04,2026-07-04
African Burial Ground,African Burial Ground National Monument,afbg,E6E1D22A-7A89-47F8-813C-B611059A8CF9,National Monument,The African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It serves to protect and honor the historic role that slavery played in shaping New York's development.,40.71452681,-74.00447358,New York,NY,10007,Veteran's Day,2025-11-11,2025-11-11
African Burial Ground,African Burial Ground National Monument,afbg,E6E1D22A-7A89-47F8-813C-B611059A8CF9,National Monument,The African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It serves to protect and honor the historic role that slavery played in shaping New York's development.,40.71452681,-74.00447358,New York,NY,10007,Presidents Day -- Call site for details,2026-02-16,2026-02-16
African Burial Ground,African Burial Ground National Monument,afbg,E6E1D22A-7A89-47F8-813C-B611059A8CF9,National Monument,The African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It serves to protect and honor the historic role that slavery played in shaping New York's development.,40.71452681,-74.00447358,New York,NY,10007,Memorial Day,2026-05-25,2026-05-25
African Burial Ground,African Burial Ground National Monument,afbg,E6E1D22A-7A89-47F8-813C-B611059A8CF9,National Monument,The African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It serves to protect and honor the historic role that slavery played in shaping New York's development.,40.71452681,-74.00447358,New York,NY,10007,Memorial Day,2026-05-26,2026-05-26
African Burial Ground,African Burial Ground National Monument,afbg,E6E1D22A-7A89-47F8-813C-B611059A8CF9,National Monument,The African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It serves to protect and honor the historic role that slavery played in shaping New York's development.,40.71452681,-74.00447358,New York,NY,10007,Juneteenth National Independence Day,2026-06-19,2026-06-19
African Burial Ground,African Burial Ground National Monument,afbg,E6E1D22A-7A89-47F8-813C-B611059A8CF9,National Monument,The African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It serves to protect and honor the historic role that slavery played in shaping New York's development.,40.71452681,-74.00447358,New York,NY,10007,Labor Day,2026-09-07,2026-09-07
Alcatraz Island,Alcatraz Island,alca,C08AD828-98FF-478E-A63C-614E7534274B,,"Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty.",37.82676234,-122.4230206,San Francisco Bay,CA,94133,Thanksgiving,2025-11-27,2025-11-27
Alcatraz Island,Alcatraz Island,alca,C08AD828-98FF-478E-A63C-614E7534274B,,"Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty.",37.82676234,-122.4230206,San Francisco Bay,CA,94133,Christmas,2025-12-25,2025-12-25
Alcatraz Island,Alcatraz Island,alca,C08AD828-98FF-478E-A63C-614E7534274B,,"Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty.",37.82676234,-122.4230206,San Francisco Bay,CA,94133,New Year's,2026-01-01,2026-01-01
Alibates Flint Quarries,Alibates Flint Quarries National Monument,alfl,6D82D070-995A-4524-A56E-C1CE182E7D9B,National Monument,"13,000 years ago, Alibates was used by mammoth hunters as a source of flint for tools. The colorful flint has never lost its value or usefulness in the Texas Panhandle. Learn how important this site was to the survival, commerce, and culture of the people of the High Plains.",35.5819662,-101.6717008,Potter County,TX,79036,Closed Thanksgiving,2025-11-27,2025-11-27
Alibates Flint Quarries,Alibates Flint Quarries National Monument,alfl,6D82D070-995A-4524-A56E-C1CE182E7D9B,National Monument,"13,000 years ago, Alibates was used by mammoth hunters as a source of flint for tools. The colorful flint has never lost its value or usefulness in the Texas Panhandle. Learn how important this site was to the survival, commerce, and culture of the people of the High Plains.",35.5819662,-101.6717008,Potter County,TX,79036,Closed Christmas Day,2025-12-25,2025-12-25
Allegheny Portage Railroad,Allegheny Portage Railroad National Historic Site,alpo,3350C18C-8E07-487B-930E-37AD873D31AD,National Historic Site,"The first railroad to cross the Allegheny Mountains, the Allegheny Portage Railroad was the final piece of the Pennsylvania Main Line Canal. ""The Portage"" opened in 1834, marking the first time that there was one, direct route between Philadelphia and Pittsburgh. All things to all people, it served merchants, passengers, slaves in pursuit of freedom, and soldiers from the Mexican War.",40.42977467,-78.57431622,Gallitzin,PA,16641,Thanksgiving Closure,2025-11-27,2025-11-27
Allegheny Portage Railroad,Allegheny Portage Railroad National Historic Site,alpo,3350C18C-8E07-487B-930E-37AD873D31AD,National Historic Site,"The first railroad to cross the Allegheny Mountains, the Allegheny Portage Railroad was the final piece of the Pennsylvania Main Line Canal. ""The Portage"" opened in 1834, marking the first time that there was one, direct route between Philadelphia and Pittsburgh. All things to all people, it served merchants, passengers, slaves in pursuit of freedom, and soldiers from the Mexican War.",40.42977467,-78.57431622,Gallitzin,PA,16641,Christmas Day Closure,2025-12-25,2025-12-25
Allegheny Portage Railroad,Allegheny Portage Railroad National Historic Site,alpo,3350C18C-8E07-487B-930E-37AD873D31AD,National Historic Site,"The first railroad to cross the Allegheny Mountains, the Allegheny Portage Railroad was the final piece of the Pennsylvania Main Line Canal. ""The Portage"" opened in 1834, marking the first time that there was one, direct route between Philadelphia and Pittsburgh. All things to all people, it served merchants, passengers, slaves in pursuit of freedom, and soldiers from the Mexican War.",40.42977467,-78.57431622,Gallitzin,PA,16641,New Year's Day Closure,2026-01-01,2026-01-01
Andersonville,Andersonville National Historic Site,ande,00E65872-53F7-4C9B-BD29-B9BC99930D0D,National Historic Site,"Nearly 13,000 men died on these grounds, a site that became infamous even before the Civil War ended. Their burial grounds became Andersonville National Cemetery, where veterans continue to be buried today. This place, where tens of thousands suffered captivity so others could be free, is also home to the National Prisoner of War Museum and serves as a memorial to all American prisoners of war.",32.19831758,-84.12988898,Andersonville,GA,31711,Thanksgiving,2025-11-27,2025-11-27
Andersonville,Andersonville National Historic Site,ande,00E65872-53F7-4C9B-BD29-B9BC99930D0D,National Historic Site,"Nearly 13,000 men died on these grounds, a site that became infamous even before the Civil War ended. Their burial grounds became Andersonville National Cemetery, where veterans continue to be buried today. This place, where tens of thousands suffered captivity so others could be free, is also home to the National Prisoner of War Museum and serves as a memorial to all American prisoners of war.",32.19831758,-84.12988898,Andersonville,GA,31711,Christmas,2025-12-25,2025-12-25
Andersonville,Andersonville National Historic Site,ande,00E65872-53F7-4C9B-BD29-B9BC99930D0D,National Historic Site,"Nearly 13,000 men died on these grounds, a site that became infamous even before the Civil War ended. Their burial grounds became Andersonville National Cemetery, where veterans continue to be buried today. This place, where tens of thousands suffered captivity so others could be free, is also home to the National Prisoner of War Museum and serves as a memorial to all American prisoners of war.",32.19831758,-84.12988898,Andersonville,GA,31711,New Year's Day,2026-01-01,2026-01-01
Andrew Johnson,Andrew Johnson National Historic Site,anjo,2ED6E071-57AA-4B08-8DDA-5CB09FBB75C8,National Historic Site,"Andrew Johnson's complex presidency (1865-69) illustrates the Constitution at work following the Civil War. As the President and Congress disagreed on Reconstruction methods, the Constitution served as their guide on balance of powers, vetoes, and impeachment. In the end, it evolved as a living document with pivotal amendments on freedom, citizenship, and voting rights - topics still vital today.",36.15624509,-82.83709021,Greeneville,TN,37743,Closed Thanksgiving Day,2025-11-27,2025-11-27
Andrew Johnson,Andrew Johnson National Historic Site,anjo,2ED6E071-57AA-4B08-8DDA-5CB09FBB75C8,National Historic Site,"Andrew Johnson's complex presidency (1865-69) illustrates the Constitution at work following the Civil War. As the President and Congress disagreed on Reconstruction methods, the Constitution served as their guide on balance of powers, vetoes, and impeachment. In the end, it evolved as a living document with pivotal amendments on freedom, citizenship, and voting rights - topics still vital today.",36.15624509,-82.83709021,Greeneville,TN,37743,Closed for Christmas Day,2025-12-25,2025-12-25
Andrew Johnson,Andrew Johnson National Historic Site,anjo,2ED6E071-57AA-4B08-8DDA-5CB09FBB75C8,National Historic Site,"Andrew Johnson's complex presidency (1865-69) illustrates the Constitution at work following the Civil War. As the President and Congress disagreed on Reconstruction methods, the Constitution served as their guide on balance of powers, vetoes, and impeachment. In the end, it evolved as a living document with pivotal amendments on freedom, citizenship, and voting rights - topics still vital today.",36.15624509,-82.83709021,Greeneville,TN,37743,Closed New Year's Day,2026-01-01,2026-01-01
Antietam,Antietam National Battlefield,anti,8415526C-C932-4236-A634-2D89DF718936,National Battlefield,"23,000 soldiers were killed, wounded or missing after twelve hours of savage combat on September 17, 1862. The Battle of Antietam ended the Confederate Army of Northern Virginia's first invasion into the North and led Abraham Lincoln to issue the preliminary Emancipation Proclamation.",39.46763452,-77.73828017,Sharpsburg,MD,21782,Thanksgiving Day,2025-11-27,2025-11-27
Antietam,Antietam National Battlefield,anti,8415526C-C932-4236-A634-2D89DF718936,National Battlefield,"23,000 soldiers were killed, wounded or missing after twelve hours of savage combat on September 17, 1862. The Battle of Antietam ended the Confederate Army of Northern Virginia's first invasion into the North and led Abraham Lincoln to issue the preliminary Emancipation Proclamation.",39.46763452,-77.73828017,Sharpsburg,MD,21782,Christmas Day,2025-12-25,2025-12-25
Antietam,Antietam National Battlefield,anti,8415526C-C932-4236-A634-2D89DF718936,National Battlefield,"23,000 soldiers were killed, wounded or missing after twelve hours of savage combat on September 17, 1862. The Battle of Antietam ended the Confederate Army of Northern Virginia's first invasion into the North and led Abraham Lincoln to issue the preliminary Emancipation Proclamation.",39.46763452,-77.73828017,Sharpsburg,MD,21782,New Year's Day,2026-01-01,2026-01-01
Appomattox Court House,Appomattox Court House National Historical Park,apco,16CCCC56-1DC1-47D6-AE91-E939955BFC53,National Historical Park,"On April 9, 1865, the surrender of the Army of Northern Virginia in the McLean House in the village of Appomattox Court House, Virginia signaled the effective end of the nation's largest war. Questions remained: could the nation reunite as one? How would emancipation be realized?",37.38022164,-78.79856982,Appomattox,VA,24522,Closed Thanksgiving Day,2025-11-27,2025-11-27
Appomattox Court House,Appomattox Court House National Historical Park,apco,16CCCC56-1DC1-47D6-AE91-E939955BFC53,National Historical Park,"On April 9, 1865, the surrender of the Army of Northern Virginia in the McLean House in the village of Appomattox Court House, Virginia signaled the effective end of the nation's largest war. Questions remained: could the nation reunite as one? How would emancipation be realized?",37.38022164,-78.79856982,Appomattox,VA,24522,Reduced Hours December 24,2025-12-24,2025-12-24
Appomattox Court House,Appomattox Court House National Historical Park,apco,16CCCC56-1DC1-47D6-AE91-E939955BFC53,National Historical Park,"On April 9, 1865, the surrender of the Army of Northern Virginia in the McLean House in the village of Appomattox Court House, Virginia signaled the effective end of the nation's largest war. Questions remained: could the nation reunite as one? How would emancipation be realized?",37.38022164,-78.79856982,Appomattox,VA,24522,Closed December 25,2025-12-25,2025-12-25
Appomattox Court House,Appomattox Court House National Historical Park,apco,16CCCC56-1DC1-47D6-AE91-E939955BFC53,National Historical Park,"On April 9, 1865, the surrender of the Army of Northern Virginia in the McLean House in the village of Appomattox Court House, Virginia signaled the effective end of the nation's largest war. Questions remained: could the nation reunite as one? How would emancipation be realized?",37.38022164,-78.79856982,Appomattox,VA,24522,Closed January 1,2026-01-01,2026-01-01
Arkansas Post,Arkansas Post National Memorial,arpo,6876F4F4-9B8F-4648-89EA-C1BBF770C494,National Memorial,"Located at the confluence of two rivers, Arkansas Post has served as a gathering place for many cultures throughout human history - it represents cultural cooperation, conflict, synthesis, and diversity.",34.00389998,-91.30837178,Gillett,AR,72055,Thanksgiving Day Closure,2025-11-27,2025-11-27
Arkansas Post,Arkansas Post National Memorial,arpo,6876F4F4-9B8F-4648-89EA-C1BBF770C494,National Memorial,"Located at the confluence of two rivers, Arkansas Post has served as a gathering place for many cultures throughout human history - it represents cultural cooperation, conflict, synthesis, and diversity.",34.00389998,-91.30837178,Gillett,AR,72055,Christmas Day Closure,2025-12-25,2025-12-25
Arkansas Post,Arkansas Post National Memorial,arpo,6876F4F4-9B8F-4648-89EA-C1BBF770C494,National Memorial,"Located at the confluence of two rivers, Arkansas Post has served as a gathering place for many cultures throughout human history - it represents cultural cooperation, conflict, synthesis, and diversity.",34.00389998,-91.30837178,Gillett,AR,72055,New Year's Day Closure,2026-01-01,2026-01-01
"Arlington House, The Robert E. Lee Memorial","Arlington House, The Robert E. Lee Memorial",arho,E84B1E08-CCE8-4FFF-8DB6-B92F40953225,,"Arlington House is the nation’s memorial to Robert E. Lee. It honors him for specific reasons, including his role in promoting peace and reunion after the Civil War. In a larger sense it exists as a place of study and contemplation of the meaning of some of the most difficult aspects of American history: military service; sacrifice; citizenship; duty; loyalty; slavery and freedom.",38.8822021484,-77.0734786987,Arlington,VA,22211,Thanksgiving,2025-11-27,2025-11-27
"Arlington House, The Robert E. Lee Memorial","Arlington House, The Robert E. Lee Memorial",arho,E84B1E08-CCE8-4FFF-8DB6-B92F40953225,,"Arlington House is the nation’s memorial to Robert E. Lee. It honors him for specific reasons, including his role in promoting peace and reunion after the Civil War. In a larger sense it exists as a place of study and contemplation of the meaning of some of the most difficult aspects of American history: military service; sacrifice; citizenship; duty; loyalty; slavery and freedom.",38.8822021484,-77.0734786987,Arlington,VA,22211,Christmas,2025-12-25,2025-12-25
"Arlington House, The Robert E. Lee Memorial","Arlington House, The Robert E. Lee Memorial",arho,E84B1E08-CCE8-4FFF-8DB6-B92F40953225,,"Arlington House is the nation’s memorial to Robert E. Lee. It honors him for specific reasons, including his role in promoting peace and reunion after the Civil War. In a larger sense it exists as a place of study and contemplation of the meaning of some of the most difficult aspects of American history: military service; sacrifice; citizenship; duty; loyalty; slavery and freedom.",38.8822021484,-77.0734786987,Arlington,VA,22211,New Year's Day,2026-01-01,2026-01-01
Assateague Island,Assateague Island National Seashore,asis,307BE169-345D-472C-8128-20F1D59864A7,National Seashore,"Want to live on the edge? Visit a place recreated each day by ocean wind and waves. Life on Assateague Island has adapted to an existence on the move. Explore sandy beaches, salt marshes, maritime forests and coastal bays. Rest, relax, recreate and enjoy some time on the edge of the continent.",38.05593172,-75.24524611,Berlin,MD,21811,Christmas Day,2025-12-25,2025-12-25
